number	title	打出条件	占格大小	靠山数量	靠水数量	可否爬行馆	可否鸟馆	爬行馆占几格	鸟馆占几格
401	CHEETAH	-	5	0	0	否	否		
402	LION	捕食者图标≥3	4	0	0	否	否		
403	LEOPARD	有相应合作动物园	3	1	0	否	否		
404	CARACAL	-	2	0	0	否	否		
405	FENNEC FOX	-	1	0	0	否	否		
406	SIBERIAN TIGER	亚洲图标≥3	5	0	0	否	否		
407	SUMATRAN TIGER	科学图标≥2	4	0	2	否	否		
408	SLOTH BEAR	-	3	0	0	否	否		
409	SUN BEAR	有相应合作动物园	2	0	0	否	否		
410	YELLOW-THROATED MARTEN	-	1	0	0	否	否		
411	GRIZZLY BEAR	Animals 已升级≥1；捕食者图标≥2	5	0	0	否	否		
412	JAGUAR	美洲图标≥1	4	0	0	否	否		
413	COUGAR	-	3	1	0	否	否		
414	SOUTH AMERICAN COATI	-	2	1	0	否	否		
415	RACCOON	-	1	0	0	否	否		
416	EURASIAN BROWN BEAR	Animals 已升级≥1；bear≥1	5	0	1	否	否		
417	WOLF	-	4	0	0	否	否		
418	EURASIAN LYNX	欧洲图标≥2	3	0	0	否	否		
419	EUROPEAN BADGER	-	2	0	0	否	否		
420	STOAT	欧洲图标≥1	1	0	0	否	否		
421	NEW ZEALAND FUR SEAL	Animals 已升级≥1	5	1	1	否	否		
422	AUSTRALIAN SEA LION	有相应合作动物园	4	0	1	否	否		
423	NEW ZEALAND SEA LION	-	3	0	1	否	否		
424	AUSTRALIAN DINGO	-	2	0	0	否	否		
425	TASMANIAN DEVIL	科学图标≥1	1	0	0	否	否		
426	AFRICAN BUSH ELEPHANT	Animals 已升级≥1	5	0	0	否	否		
427	WHITE RHINOCEROS	科学图标≥1	4	1	0	否	否		
428	GIRAFFE	-	3	0	0	否	否		
429	GREVY'S ZEBRA	非洲图标≥3	2	0	0	否	否		
430	PYGMY HIPPOPOTAMUS	有相应合作动物园	2	0	1	否	否		
431	ASIAN ELEPHANT	Animals 已升级≥1	5	0	1	否	否		
432	INDIAN RHINOCEROS	Animals 已升级≥1	4	0	0	否	否		
433	GIANT PANDA	bear≥1；食草动物图标≥1；有相应合作动物园	3	0	0	否	否		
434	RED PANDA	科学图标≥2	2	0	0	否	否		
435	MALAYAN TAPIR	-	2	0	0	否	否		
436	AMERICAN BISON	美洲图标≥3	5	0	0	否	否		
